Decade,State,Enc_Solved,Enc_NoSolved,Population Density,Resident Population
2000,New Mexico,898,279,15.0,1819046
2000,New York,4175,3012,402.7,18976457
2000,North Carolina,2855,940,165.6,8049313
2000,North Dakota,72,4,9.3,642200
2000,Ohio,3276,1526,277.8,11353140
2000,Oklahoma,1482,326,50.3,3450654
2000,Oregon,512,76,35.6,3421399
2000,Pennsylvania,4939,1607,274.5,12281054
2000,South Carolina,2858,359,133.5,4012012
2000,South Dakota,130,7,10.0,754844
2000,Tennessee,3754,588,138.0,5689283
2000,Texas,8242,2674,79.8,20851820
2000,Utah,477,50,27.2,2233169
2000,Vermont,119,5,66.1,608827
2000,Virginia,3257,772,179.2,7078515
2000,Washington,1583,332,88.7,5894121
2000,West Virginia,582,79,75.2,1808344
2000,Wisconsin,833,225,99.0,5363675
2000,Wyoming,115,10,5.1,493782
2010,Alabama,2253,1274,94.4,4779736
2010,Alaska,295,45,1.2,710231
2010,Arizona,2618,844,56.3,6392017
2010,Arkansas,1577,365,56.0,2915918
2010,California,3344,2342,239.1,37253956
2010,Colorado,1745,244,48.5,5029196
2010,Connecticut,605,339,738.1,3574097
2010,Delaware,371,161,460.8,897934
2010,District of Columbia,503,598,9856.5,601723
2010,Florida,7801,2887,350.6,18801310
2010,Georgia,4016,1752,168.4,9687653
2010,Hawaii,244,37,211.8,1360301
2010,Idaho,329,17,19.0,1567582
2010,Illinois,1995,3137,231.1,12830632
2010,Indiana,1913,1059,181.0,6483802
2010,Iowa,538,83,54.5,3046355
2010,Kansas,963,142,34.9,2853118
2010,Kentucky,1699,532,109.9,4339367
2010,Louisiana,3070,1686,104.9,4533372
2010,Maine,270,16,43.1,1328361
2010,Maryland,2074,1665,594.8,5773552
2010,Massachusetts,906,591,839.4,6547629
2010,Michigan,4282,2032,174.8,9883640
2010,Minnesota,720,151,66.6,5303925
2010,Mississippi,1047,340,63.2,2967297
2010,Missouri,2346,974,87.1,5988927
2010,Montana,284,19,6.8,989415
2010,Nebraska,294,141,23.8,1826341
2010,Nevada,1375,424,24.6,2700551
2010,New Hampshire,188,16,147.0,1316470
2010,New Jersey,1410,1424,1195.5,8791894
2010,New Mexico,970,202,17.0,2059179
2010,New York,2999,1442,411.2,19378102
2010,North Carolina,2707,1020,196.1,9535483
2010,North Dakota,180,2,9.7,672591
2010,Ohio,3514,1699,282.3,11536504
2010,Oklahoma,1384,250,54.7,3751351
2010,Oregon,852,109,39.9,3831074
2010,Pennsylvania,3623,2502,283.9,12702379
2010,South Carolina,3169,567,153.9,4625364
2010,South Dakota,212,10,10.7,814180
2010,Tennessee,3875,844,153.9,6346105
2010,Texas,4886,1170,96.3,25145561
2010,Utah,595,51,33.6,2763885
2010,Vermont,108,13,67.9,625741
2010,Virginia,3246,797,202.6,8001024
2010,Washington,1719,340,101.2,6724540
2010,West Virginia,653,100,77.1,1852994
2010,Wisconsin,1696,297,105.0,5686986
2010,Wyoming,117,11,5.8,563626
