;Resident Population 2020 Census;Population Density 2020 Census;Density Rank 2020 Census;Resident Population 2010 Census;Population Density 2010 Census;Density Rank 2010 Census;Resident Population 2000 Census;Population Density 2000 Census;Density Rank 2000 Census;Resident Population 1990 Census;Population Density 1990 Census;Density Rank 1990 Census;Resident Population 1980 Census;Population Density 1980 Census;Density Rank 1980 Census;Resident Population 1970 Census;Population Density 1970 Census;Density Rank 1970 Census
Rhode Island;1.097.379;1.061,4;3;1.052.567;1.018,1;4;1.048.319;1.014,0;4;1.003.464;970,6;4;947.154;916,2;4;946.725;915,8;3
South Carolina;5.118.425;170,2;21;4.625.364;153,9;22;4.012.012;133,5;23;3.486.703;116,0;22;3.121.820;103,9;21;2.590.516;86,2;21
South Dakota;886.667;11,7;48;814.180;10,7;48;754.844;10,0;48;696.004;9,2;49;690.768;9,1;48;665.507;8,8;46
Tennessee;6.910.840;167,6;22;6.346.105;153,9;21;5.689.283;138,0;21;4.877.185;118,3;21;4.591.120;111,3;20;3.923.687;95,2;20
Texas;29.145.505;111,6;26;25.145.561;96,3;28;20.851.820;79,8;30;16.986.510;65,0;31;14.229.191;54,5;32;11.196.730;42,9;35
Utah;3.271.616;39,7;42;2.763.885;33,6;43;2.233.169;27,2;43;1.722.850;21,0;43;1.461.037;17,8;44;1.059.273;12,9;44
Vermont;643.077;69,8;33;625.741;67,9;32;608.827;66,1;32;562.758;61,1;32;511.456;55,5;31;444.330;48,2;32
Virginia;8.631.393;218,6;16;8.001.024;202,6;16;7.078.515;179,2;16;6.187.358;156,7;17;5.346.818;135,4;18;4.648.494;117,7;18
Washington;7.705.281;115,9;24;6.724.540;101,2;27;5.894.121;88,7;27;4.866.692;73,2;30;4.132.156;62,2;30;3.409.169;51,3;30
West Virginia;1.793.716;74,6;31;1.852.994;77,1;31;1.808.344;75,2;31;1.793.477;74,6;28;1.949.644;81,1;27;1.744.237;72,6;27
Wisconsin;5.893.718;108,8;27;5.686.986;105,0;25;5.363.675;99,0;26;4.891.769;90,3;26;4.705.767;86,9;26;4.417.731;81,6;24
Wyoming;576.851;5,9;51;563.626;5,8;51;493.782;5,1;51;453.588;4,7;51;469.557;4,8;51;332.416;3,4;51
United States1;331.449.281;93,8;X;308.745.538;87,4;X;281.421.906;79,7;X;248.709.873;70,4;X;226.545.805;64,1;X;203.211.926;57,5;X
