Decade,State,Enc_Solved,Enc_NoSolved,Population Density,Resident Population,Casos Totales,Porcentaje Resueltos,Porcentaje No Resueltos
1990,New Hampshire,151,28,123.9,1109252,179,84.35754189944134,15.64245810055866
1990,New Jersey,2246,1157,1051.1,7730188,3403,66.00058771672053,33.999412283279455
1990,New Mexico,800,320,12.5,1515069,1120,71.42857142857143,28.57142857142857
1990,New York,7496,8300,381.7,17990455,15796,47.455051911876424,52.544948088123576
1990,North Carolina,1411,274,136.3,6628637,1685,83.73887240356083,16.26112759643917
1990,North Dakota,62,3,9.3,638800,65,95.38461538461539,4.615384615384616
1990,Ohio,3612,1604,265.5,10847115,5216,69.24846625766872,30.75153374233129
1990,Oklahoma,2037,404,45.9,3145585,2441,83.44940598115527,16.550594018844738
1990,Oregon,685,129,29.6,2842321,814,84.15233415233415,15.847665847665848
1990,Pennsylvania,4400,1362,265.6,11881643,5762,76.36237417563346,23.63762582436654
1990,South Carolina,3140,248,116.0,3486703,3388,92.68004722550177,7.319952774498228
1990,South Dakota,89,6,9.2,696004,95,93.6842105263158,6.315789473684211
1990,Tennessee,3158,765,118.3,4877185,3923,80.49961763956156,19.50038236043844
1990,Texas,13600,4443,65.0,16986510,18043,75.37549188050767,24.624508119492326
1990,Utah,490,94,21.0,1722850,584,83.9041095890411,16.095890410958905
1990,Vermont,103,15,61.1,562758,118,87.28813559322035,12.711864406779661
1990,Virginia,3203,1294,156.7,6187358,4497,71.22526128530131,28.77473871469869
1990,Washington,1745,532,73.2,4866692,2277,76.63592446201142,23.364075537988583
1990,West Virginia,802,95,74.6,1793477,897,89.40914158305463,10.590858416945373
1990,Wisconsin,1211,207,90.3,4891769,1418,85.40197461212976,14.598025387870239
1990,Wyoming,154,8,4.7,453588,162,95.06172839506173,4.938271604938271
2000,Alabama,1658,72,87.8,4447100,1730,95.83815028901735,4.161849710982659
2000,Alaska,287,56,1.1,626932,343,83.6734693877551,16.3265306122449
2000,Arizona,2759,1353,45.2,5130632,4112,67.09630350194551,32.90369649805447
2000,Arkansas,1205,276,51.4,2673400,1481,81.3639432815665,18.63605671843349
2000,California,3779,2638,217.4,33871648,6417,58.89044724949354,41.10955275050647
2000,Colorado,1332,319,41.5,4301261,1651,80.67837674136887,19.32162325863113
2000,Connecticut,680,332,703.3,3405565,1012,67.19367588932806,32.80632411067194
2000,Delaware,282,75,402.1,783600,357,78.99159663865547,21.008403361344538
2000,District of Columbia,689,639,9370.6,572059,1328,51.88253012048193,48.11746987951807
2000,Florida,7769,2897,298.0,15982378,10666,72.83892743296457,27.16107256703544
2000,Georgia,2315,969,142.3,8186453,3284,70.49330085261876,29.506699147381244
2000,Hawaii,231,46,188.6,1211537,277,83.39350180505414,16.60649819494585
2000,Idaho,294,21,15.7,1293953,315,93.33333333333333,6.666666666666667
2000,Illinois,2573,2692,223.7,12419293,5265,48.869895536562204,51.130104463437796
2000,Indiana,2043,1110,169.7,6080485,3153,64.7954329210276,35.20456707897241
2000,Iowa,461,51,52.4,2926324,512,90.0390625,9.9609375
2000,Kansas,763,159,32.9,2688418,922,82.75488069414317,17.245119305856832
2000,Kentucky,1018,372,102.4,4041769,1390,73.23741007194245,26.762589928057558
2000,Louisiana,3556,1461,103.4,4468976,5017,70.87901136137134,29.120988638628663
2000,Maine,119,12,41.3,1274923,131,90.83969465648855,9.16030534351145
2000,Maryland,2717,2374,545.6,5296486,5091,53.3686898448242,46.6313101551758
2000,Massachusetts,993,601,814.0,6349097,1594,62.2961104140527,37.7038895859473
2000,Michigan,4070,2356,175.8,9938444,6426,63.33644568938686,36.66355431061314
2000,Minnesota,937,158,61.8,4919479,1095,85.57077625570776,14.429223744292239
2000,Mississippi,1321,344,60.6,2844658,1665,79.33933933933935,20.66066066066066
2000,Missouri,1186,679,81.4,5595211,1865,63.592493297587126,36.40750670241287
2000,Montana,110,9,6.2,902195,119,92.43697478991596,7.563025210084033
2000,Nebraska,176,36,22.3,1711263,212,83.01886792452831,16.9811320754717
2000,Nevada,1180,610,18.2,1998257,1790,65.92178770949721,34.07821229050279
2000,New Hampshire,117,12,138.0,1235786,129,90.69767441860465,9.30232558139535
2000,New Jersey,1562,1136,1144.2,8414350,2698,57.89473684210527,42.10526315789473
2000,New Mexico,898,279,15.0,1819046,1177,76.29566694987255,23.704333050127442
2000,New York,4175,3012,402.7,18976457,7187,58.090997634618056,41.909002365381944
2000,North Carolina,2855,940,165.6,8049313,3795,75.23056653491436,24.769433465085637
2000,North Dakota,72,4,9.3,642200,76,94.73684210526315,5.263157894736842
2000,Ohio,3276,1526,277.8,11353140,4802,68.22157434402332,31.778425655976676
2000,Oklahoma,1482,326,50.3,3450654,1808,81.96902654867256,18.030973451327434
2000,Oregon,512,76,35.6,3421399,588,87.07482993197279,12.925170068027212
2000,Pennsylvania,4939,1607,274.5,12281054,6546,75.45065688970364,24.549343110296366
2000,South Carolina,2858,359,133.5,4012012,3217,88.84053465962076,11.159465340379235
2000,South Dakota,130,7,10.0,754844,137,94.8905109489051,5.109489051094891
2000,Tennessee,3754,588,138.0,5689283,4342,86.45785352372178,13.542146476278214
2000,Texas,8242,2674,79.8,20851820,10916,75.50384756320997,24.496152436790034
2000,Utah,477,50,27.2,2233169,527,90.5123339658444,9.487666034155598
2000,Vermont,119,5,66.1,608827,124,95.96774193548387,4.032258064516129
2000,Virginia,3257,772,179.2,7078515,4029,80.83891784561926,19.16108215438074
2000,Washington,1583,332,88.7,5894121,1915,82.66318537859007,17.33681462140992
2000,West Virginia,582,79,75.2,1808344,661,88.04841149773071,11.951588502269288
2000,Wisconsin,833,225,99.0,5363675,1058,78.73345935727788,21.266540642722116
2000,Wyoming,115,10,5.1,493782,125,92.0,8.0
2010,Alabama,2253,1274,94.4,4779736,3527,63.87865041111426,36.121349588885735
2010,Alaska,295,45,1.2,710231,340,86.76470588235294,13.23529411764706
2010,Arizona,2618,844,56.3,6392017,3462,75.6210283073368,24.3789716926632
2010,Arkansas,1577,365,56.0,2915918,1942,81.20494335736355,18.795056642636457
2010,California,3344,2342,239.1,37253956,5686,58.81111501934576,41.18888498065424
2010,Colorado,1745,244,48.5,5029196,1989,87.7325289089995,12.267471091000502
2010,Connecticut,605,339,738.1,3574097,944,64.08898305084746,35.91101694915254
2010,Delaware,371,161,460.8,897934,532,69.73684210526315,30.263157894736842
2010,District of Columbia,503,598,9856.5,601723,1101,45.68574023614895,54.31425976385105
2010,Florida,7801,2887,350.6,18801310,10688,72.98839820359282,27.011601796407188
2010,Georgia,4016,1752,168.4,9687653,5768,69.62552011095701,30.374479889042995
2010,Hawaii,244,37,211.8,1360301,281,86.83274021352312,13.167259786476867
2010,Idaho,329,17,19.0,1567582,346,95.08670520231213,4.913294797687861
2010,Illinois,1995,3137,231.1,12830632,5132,38.87373343725643,61.12626656274357
2010,Indiana,1913,1059,181.0,6483802,2972,64.36742934051144,35.63257065948856
2010,Iowa,538,83,54.5,3046355,621,86.63446054750402,13.365539452495975
2010,Kansas,963,142,34.9,2853118,1105,87.14932126696833,12.850678733031673
2010,Kentucky,1699,532,109.9,4339367,2231,76.15419094576423,23.84580905423577
2010,Louisiana,3070,1686,104.9,4533372,4756,64.55004205214466,35.449957947855346
2010,Maine,270,16,43.1,1328361,286,94.4055944055944,5.594405594405594
2010,Maryland,2074,1665,594.8,5773552,3739,55.46937683872694,44.53062316127307
2010,Massachusetts,906,591,839.4,6547629,1497,60.52104208416834,39.478957915831664
2010,Michigan,4282,2032,174.8,9883640,6314,67.81754830535318,32.182451694646815
2010,Minnesota,720,151,66.6,5303925,871,82.66360505166476,17.336394948335247
2010,Mississippi,1047,340,63.2,2967297,1387,75.48666186012977,24.51333813987022
