Decade,State,Enc_Solved,Enc_NoSolved,Population Density,Resident Population
2000,Georgia,2315.0,969.0,142.3,8186453
2000,Hawaii,231.0,46.0,188.6,1211537
2000,Idaho,294.0,21.0,15.7,1293953
2000,Illinois,2573.0,2692.0,223.7,12419293
2000,Indiana,2043.0,1110.0,169.7,6080485
2000,Iowa,461.0,51.0,52.4,2926324
2000,Kansas,763.0,159.0,32.9,2688418
2000,Kentucky,1018.0,372.0,102.4,4041769
2000,Louisiana,3556.0,1461.0,103.4,4468976
2000,Maine,119.0,12.0,41.3,1274923
2000,Maryland,2717.0,2374.0,545.6,5296486
2000,Massachusetts,993.0,601.0,814.0,6349097
2000,Michigan,4070.0,2356.0,175.8,9938444
2000,Minnesota,937.0,158.0,61.8,4919479
2000,Mississippi,1321.0,344.0,60.6,2844658
2000,Missouri,1186.0,679.0,81.4,5595211
2000,Montana,110.0,9.0,6.2,902195
2000,Nebraska,176.0,36.0,22.3,1711263
2000,Nevada,1180.0,610.0,18.2,1998257
2000,New Hampshire,117.0,12.0,138.0,1235786
2000,New Jersey,1562.0,1136.0,1144.2,8414350
2000,New Mexico,898.0,279.0,15.0,1819046
2000,New York,4175.0,3012.0,402.7,18976457
2000,North Carolina,2855.0,940.0,165.6,8049313
2000,North Dakota,72.0,4.0,9.3,642200
2000,Ohio,3276.0,1526.0,277.8,11353140
2000,Oklahoma,1482.0,326.0,50.3,3450654
2000,Oregon,512.0,76.0,35.6,3421399
2000,Pennsylvania,4939.0,1607.0,274.5,12281054
2000,South Carolina,2858.0,359.0,133.5,4012012
2000,South Dakota,130.0,7.0,10.0,754844
2000,Tennessee,3754.0,588.0,138.0,5689283
2000,Texas,8242.0,2674.0,79.8,20851820
2000,Utah,477.0,50.0,27.2,2233169
2000,Vermont,119.0,5.0,66.1,608827
2000,Virginia,3257.0,772.0,179.2,7078515
2000,Washington,1583.0,332.0,88.7,5894121
2000,West Virginia,582.0,79.0,75.2,1808344
2000,Wisconsin,833.0,225.0,99.0,5363675
2000,Wyoming,115.0,10.0,5.1,493782
2010,Alabama,2253.0,1274.0,94.4,4779736
2010,Alaska,295.0,45.0,1.2,710231
2010,Arizona,2618.0,844.0,56.3,6392017
2010,Arkansas,1577.0,365.0,56.0,2915918
2010,California,3344.0,2342.0,239.1,37253956
2010,Colorado,1745.0,244.0,48.5,5029196
2010,Connecticut,605.0,339.0,738.1,3574097
2010,Delaware,371.0,161.0,460.8,897934
2010,District of Columbia,503.0,598.0,9856.5,601723
2010,Florida,7801.0,2887.0,350.6,18801310
2010,Georgia,4016.0,1752.0,168.4,9687653
2010,Hawaii,244.0,37.0,211.8,1360301
2010,Idaho,329.0,17.0,19.0,1567582
2010,Illinois,1995.0,3137.0,231.1,12830632
2010,Indiana,1913.0,1059.0,181.0,6483802
2010,Iowa,538.0,83.0,54.5,3046355
2010,Kansas,963.0,142.0,34.9,2853118
2010,Kentucky,1699.0,532.0,109.9,4339367
2010,Louisiana,3070.0,1686.0,104.9,4533372
2010,Maine,270.0,16.0,43.1,1328361
2010,Maryland,2074.0,1665.0,594.8,5773552
2010,Massachusetts,906.0,591.0,839.4,6547629
2010,Michigan,4282.0,2032.0,174.8,9883640
2010,Minnesota,720.0,151.0,66.6,5303925
2010,Mississippi,1047.0,340.0,63.2,2967297
2010,Missouri,2346.0,974.0,87.1,5988927
2010,Montana,284.0,19.0,6.8,989415
2010,Nebraska,294.0,141.0,23.8,1826341
2010,Nevada,1375.0,424.0,24.6,2700551
2010,New Hampshire,188.0,16.0,147.0,1316470
2010,New Jersey,1410.0,1424.0,1195.5,8791894
2010,New Mexico,970.0,202.0,17.0,2059179
2010,New York,2999.0,1442.0,411.2,19378102
2010,North Carolina,2707.0,1020.0,196.1,9535483
2010,North Dakota,180.0,2.0,9.7,672591
2010,Ohio,3514.0,1699.0,282.3,11536504
2010,Oklahoma,1384.0,250.0,54.7,3751351
2010,Oregon,852.0,109.0,39.9,3831074
2010,Pennsylvania,3623.0,2502.0,283.9,12702379
2010,South Carolina,3169.0,567.0,153.9,4625364
2010,South Dakota,212.0,10.0,10.7,814180
2010,Tennessee,3875.0,844.0,153.9,6346105
2010,Texas,4886.0,1170.0,96.3,25145561
2010,Utah,595.0,51.0,33.6,2763885
2010,Vermont,108.0,13.0,67.9,625741
2010,Virginia,3246.0,797.0,202.6,8001024
2010,Washington,1719.0,340.0,101.2,6724540
2010,West Virginia,653.0,100.0,77.1,1852994
2010,Wisconsin,1696.0,297.0,105.0,5686986
2010,Wyoming,117.0,11.0,5.8,563626
